Time,rotX,rotY,rotZ,DT,Hour
1582687236884.0,-0.005746722221374512,-0.005024373531341553,-0.003375360742211342,2020-02-25 21:20:36.884000-06:00,2020-02-25 21:00
1582687236934.0,-0.012298762798309326,-0.002722829580307007,0.0008587539196014404,2020-02-25 21:20:36.934000-06:00,2020-02-25 21:00
1582687236984.0,-0.00791865587234497,-0.007599622011184692,0.0034153610467910767,2020-02-25 21:20:36.984000-06:00,2020-02-25 21:00
1582687237034.0,-0.005682945251464844,-0.008668199181556702,0.0013240575790405273,2020-02-25 21:20:37.034000-06:00,2020-02-25 21:00
1582687237084.0,-0.006891965866088867,-0.0031453967094421387,0.002556160092353821,2020-02-25 21:20:37.084000-06:00,2020-02-25 21:00
1582687237134.0,-0.008593738079071045,0.0007128193974494934,0.003664351999759674,2020-02-25 21:20:37.134000-06:00,2020-02-25 21:00
1582687237184.0,-0.013611888512969017,-0.003375113010406494,0.004017181694507599,2020-02-25 21:20:37.184000-06:00,2020-02-25 21:00
1582687237234.0,-0.009048283100128174,-0.0059065669775009155,0.003269374370574951,2020-02-25 21:20:37.234000-06:00,2020-02-25 21:00
1582687237284.0,-0.005666524171829224,-0.0003466010093688965,0.0036584287881851196,2020-02-25 21:20:37.284000-06:00,2020-02-25 21:00
1582687237334.0,-0.009937316179275513,0.007125437259674072,0.006368383765220642,2020-02-25 21:20:37.334000-06:00,2020-02-25 21:00
1582687237384.0,-0.006461501121520996,0.009858973324298859,0.004827618598937988,2020-02-25 21:20:37.384000-06:00,2020-02-25 21:00
1582687237434.0,-0.00025986693799495697,0.010335050523281097,0.003719910979270935,2020-02-25 21:20:37.434000-06:00,2020-02-25 21:00
1582687237484.0,0.0022877752780914307,0.00898239016532898,0.0025788545608520508,2020-02-25 21:20:37.484000-06:00,2020-02-25 21:00
1582687237534.0,-0.0010143518447875977,0.008170798420906067,0.0015202611684799194,2020-02-25 21:20:37.534000-06:00,2020-02-25 21:00
1582687237584.0,-0.004557222127914429,0.009877756237983704,0.0025610290467739105,2020-02-25 21:20:37.584000-06:00,2020-02-25 21:00
1582687237634.0,-0.00018492341041564941,0.009599775075912476,0.001372113823890686,2020-02-25 21:20:37.634000-06:00,2020-02-25 21:00
1582687237684.0,0.0032217055559158325,0.008967051515355706,0.001191750168800354,2020-02-25 21:20:37.684000-06:00,2020-02-25 21:00
1582687237734.0,0.00477251224219799,0.01143038272857666,0.0019613904878497124,2020-02-25 21:20:37.734000-06:00,2020-02-25 21:00
1582687237784.0,0.0021032392978668213,0.011657923460006714,-0.0003052651882171631,2020-02-25 21:20:37.784000-06:00,2020-02-25 21:00
